"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 19, 2020","27.33","23.80","27.60","22.68","13.80M","11.01%"
"Mar 18, 2020","24.62","27.30","29.00","23.26","9.43M","-12.07%"
"Mar 17, 2020","28.00","28.70","31.15","27.46","13.50M","-1.30%"
"Mar 16, 2020","28.37","28.84","31.58","27.55","12.38M","-10.16%"
"Mar 13, 2020","31.58","32.20","33.27","28.63","17.03M","6.19%"
"Mar 12, 2020","29.74","32.00","33.70","29.03","19.22M","-16.13%"
"Mar 11, 2020","35.46","38.22","38.77","33.22","10.42M","-8.75%"
"Mar 10, 2020","38.86","38.70","39.71","36.85","9.52M","2.40%"
"Mar 09, 2020","37.95","39.00","39.00","37.17","8.59M","-5.20%"
"Mar 06, 2020","40.03","41.83","42.09","40.03","9.73M","-6.08%"
"Mar 05, 2020","42.62","42.76","44.28","41.95","9.59M","-2.11%"
"Mar 04, 2020","43.54","41.30","43.75","40.60","12.58M","9.01%"
"Mar 03, 2020","39.94","39.30","41.80","39.06","7.19M","0.73%"
"Mar 02, 2020","39.65","38.70","39.96","38.13","4.64M","3.96%"
"Feb 28, 2020","38.14","37.81","38.14","36.69","8.40M","0.03%"
"Feb 27, 2020","38.13","38.38","39.08","37.81","7.93M","-1.22%"
"Feb 26, 2020","38.60","39.50","40.06","38.38","8.65M","-6.81%"
"Feb 21, 2020","41.42","40.11","41.42","39.84","5.93M","3.06%"
"Feb 20, 2020","40.19","40.14","40.95","39.70","4.31M","0.05%"
"Feb 19, 2020","40.17","39.80","40.84","39.50","3.51M","0.17%"
"Feb 18, 2020","40.10","40.05","40.68","39.00","4.44M","0.25%"
"Feb 17, 2020","40.00","40.00","41.34","39.70","3.45M","0.48%"
"Feb 14, 2020","39.81","41.60","41.80","39.56","8.25M","-3.61%"
"Feb 13, 2020","41.30","39.50","42.07","39.05","14.33M","3.25%"
"Feb 12, 2020","40.00","38.54","40.42","38.50","8.68M","3.92%"
"Feb 11, 2020","38.49","37.15","38.54","36.91","4.95M","4.03%"
"Feb 10, 2020","37.00","37.69","38.12","36.40","6.61M","-1.70%"
"Feb 07, 2020","37.64","38.90","38.96","37.64","3.38M","-3.24%"
"Feb 06, 2020","38.90","38.92","39.22","38.22","4.90M","1.30%"
"Feb 05, 2020","38.40","39.80","39.98","37.90","7.07M","-1.26%"
"Feb 04, 2020","38.89","39.82","40.30","38.66","5.05M","-1.54%"
"Feb 03, 2020","39.50","38.97","40.00","38.40","7.20M","-0.43%"
"Jan 31, 2020","39.67","39.99","40.45","39.44","4.97M","-2.07%"
"Jan 30, 2020","40.51","40.00","40.52","39.66","6.89M","-1.24%"
"Jan 29, 2020","41.02","42.10","42.21","40.93","4.19M","-1.51%"
"Jan 28, 2020","41.65","41.30","42.20","41.14","5.07M","1.76%"
"Jan 27, 2020","40.93","42.45","42.63","40.89","8.42M","-6.70%"
"Jan 24, 2020","43.87","44.45","44.62","43.33","3.68M","-1.30%"
