"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 07, 2020","54.23","55.70","55.93","53.50","9.77M","-2.87%"
"Feb 06, 2020","55.83","58.00","58.15","55.80","10.29M","-2.57%"
"Feb 05, 2020","57.30","58.50","58.84","57.03","8.62M","-0.62%"
"Feb 04, 2020","57.66","57.60","58.67","57.13","8.22M","2.00%"
"Feb 03, 2020","56.53","56.48","56.95","55.66","6.14M","1.31%"
"Jan 31, 2020","55.80","55.64","57.15","55.20","9.70M","-1.24%"
"Jan 30, 2020","56.50","56.37","56.70","55.02","11.08M","-1.38%"
"Jan 29, 2020","57.29","57.51","58.09","56.65","9.95M","0.53%"
"Jan 28, 2020","56.99","54.01","56.99","54.01","10.36M","5.93%"
"Jan 27, 2020","53.80","55.05","55.30","53.75","7.52M","-4.19%"
"Jan 24, 2020","56.15","56.77","57.05","56.00","7.52M","-0.76%"
"Jan 23, 2020","56.58","55.68","56.72","54.93","8.18M","1.60%"
"Jan 22, 2020","55.69","56.51","57.10","54.83","9.02M","-0.39%"
"Jan 21, 2020","55.91","55.72","56.74","55.61","8.06M","-0.16%"
"Jan 20, 2020","56.00","54.12","56.00","54.05","7.41M","3.04%"
"Jan 17, 2020","54.35","53.80","54.43","53.10","6.05M","1.66%"
"Jan 16, 2020","53.46","54.20","54.72","52.30","8.38M","-0.37%"
"Jan 15, 2020","53.66","53.68","54.36","53.20","9.24M","-0.63%"
"Jan 14, 2020","54.00","54.00","55.05","53.60","8.30M","-0.42%"
"Jan 13, 2020","54.23","52.20","54.23","52.15","8.58M","4.69%"
"Jan 10, 2020","51.80","52.09","53.05","51.05","9.37M","-0.54%"
"Jan 09, 2020","52.08","50.50","52.23","50.42","11.03M","3.56%"
"Jan 08, 2020","50.29","48.62","50.35","48.50","10.00M","3.07%"
"Jan 07, 2020","48.79","48.94","49.20","48.50","6.70M","-0.29%"
"Jan 06, 2020","48.93","48.40","49.31","47.80","6.84M","0.08%"
"Jan 03, 2020","48.89","48.50","49.33","48.30","6.68M","-0.89%"
"Jan 02, 2020","49.33","48.30","49.33","47.71","7.40M","3.50%"
"Dec 30, 2019","47.66","48.76","48.95","47.47","8.09M","-2.12%"
"Dec 27, 2019","48.69","49.11","49.37","48.11","5.92M","-0.73%"
"Dec 26, 2019","49.05","48.76","49.06","48.59","4.85M","0.72%"
"Dec 23, 2019","48.70","48.56","49.21","48.36","6.50M","0.31%"
"Dec 20, 2019","48.55","48.58","48.99","47.92","9.19M","-0.14%"
"Dec 19, 2019","48.62","48.53","48.73","47.90","7.52M","0.19%"
"Dec 18, 2019","48.53","48.15","49.00","47.66","10.30M","1.36%"
"Dec 17, 2019","47.88","49.39","49.39","47.23","12.12M","-2.88%"
"Dec 16, 2019","49.30","49.49","49.88","48.66","10.69M","0.47%"
"Dec 13, 2019","49.07","48.30","49.66","48.00","13.66M","2.59%"
"Dec 12, 2019","47.83","47.96","48.37","47.53","9.07M","0.53%"
"Dec 11, 2019","47.58","46.88","47.90","46.65","11.27M","2.10%"
"Dec 10, 2019","46.60","45.94","46.60","45.30","8.44M","1.64%"
"Dec 09, 2019","45.85","45.40","46.50","45.32","12.76M","0.99%"
"Dec 06, 2019","45.40","45.02","45.59","44.80","7.55M","1.14%"
"Dec 05, 2019","44.89","44.28","45.19","44.07","9.76M","1.86%"
"Dec 04, 2019","44.07","44.70","45.75","44.00","14.59M","-1.17%"
"Dec 03, 2019","44.59","45.19","45.21","44.00","8.61M","-0.73%"
"Dec 02, 2019","44.92","45.45","45.65","44.52","9.85M","-0.24%"
"Nov 29, 2019","45.03","45.80","45.91","45.03","11.38M","-1.25%"
"Nov 28, 2019","45.60","45.33","46.05","44.83","12.05M","0.00%"
"Nov 27, 2019","45.60","43.45","45.60","43.20","16.28M","5.95%"
"Nov 26, 2019","43.04","44.20","44.29","42.51","17.99M","-2.84%"
"Nov 25, 2019","44.30","45.50","45.51","44.30","9.08M","-2.62%"
"Nov 22, 2019","45.49","44.70","45.69","44.56","12.00M","1.09%"
"Nov 21, 2019","45.00","44.89","45.09","44.25","10.71M","1.08%"
"Nov 19, 2019","44.52","44.98","45.25","43.53","14.93M","-1.02%"
"Nov 18, 2019","44.98","45.00","45.19","43.77","27.66M","1.65%"
"Nov 14, 2019","44.25","42.70","44.46","42.57","18.07M","4.12%"
"Nov 13, 2019","42.50","42.86","42.88","41.70","22.82M","-2.07%"
"Nov 12, 2019","43.40","45.20","45.46","43.07","16.36M","-3.60%"
"Nov 11, 2019","45.02","43.50","45.48","43.24","11.16M","2.76%"
"Nov 08, 2019","43.81","43.51","44.79","42.95","10.64M","-0.88%"
"Nov 07, 2019","44.20","45.61","45.90","44.16","9.78M","-2.21%"
"Nov 06, 2019","45.20","44.50","45.30","43.49","11.79M","2.63%"
"Nov 05, 2019","44.04","45.32","46.28","43.52","18.19M","-2.07%"
"Nov 04, 2019","44.97","48.14","48.79","44.77","31.34M","-4.70%"
"Nov 01, 2019","47.19","44.95","47.30","44.91","22.91M","5.71%"
