"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 19, 2020","5.11","4.50","5.38","4.11","112.40M","6.02%"
"Mar 18, 2020","4.82","6.19","6.23","4.17","174.89M","-31.53%"
"Mar 17, 2020","7.04","8.01","8.07","7.00","112.41M","-6.88%"
"Mar 16, 2020","7.56","7.95","9.05","7.56","92.58M","-22.14%"
"Mar 13, 2020","9.71","10.39","10.39","8.20","102.78M","14.24%"
"Mar 12, 2020","8.50","9.00","9.54","7.70","64.36M","-22.73%"
"Mar 11, 2020","11.00","10.90","11.65","9.82","86.46M","-5.34%"
"Mar 10, 2020","11.62","10.95","11.93","9.94","85.97M","21.29%"
"Mar 09, 2020","9.58","9.06","10.26","8.66","88.75M","-17.13%"
"Mar 06, 2020","11.56","12.65","12.84","11.39","131.29M","-17.19%"
"Mar 05, 2020","13.96","14.60","14.74","13.43","53.58M","-6.81%"
"Mar 04, 2020","14.98","15.00","15.01","14.38","37.97M","4.24%"
"Mar 03, 2020","14.37","14.45","15.14","14.10","63.71M","0.21%"
"Mar 02, 2020","14.34","14.00","14.67","13.94","64.05M","3.84%"
"Feb 28, 2020","13.81","13.90","14.02","13.03","86.21M","-1.92%"
"Feb 27, 2020","14.08","14.70","15.20","13.80","76.96M","-6.13%"
"Feb 26, 2020","15.00","15.70","15.95","14.98","51.22M","-9.86%"
"Feb 21, 2020","16.64","15.70","16.64","15.57","52.90M","4.33%"
"Feb 20, 2020","15.95","16.13","16.44","15.77","46.01M","0.31%"
"Feb 19, 2020","15.90","15.04","16.05","14.92","54.56M","6.21%"
"Feb 18, 2020","14.97","14.90","15.13","14.78","21.67M","-0.86%"
"Feb 17, 2020","15.10","14.90","15.24","14.81","28.68M","2.51%"
"Feb 14, 2020","14.73","15.05","15.26","14.56","32.67M","-1.87%"
"Feb 13, 2020","15.01","14.50","15.06","14.30","35.95M","0.13%"
"Feb 12, 2020","14.99","14.76","15.08","14.62","44.31M","2.53%"
"Feb 11, 2020","14.62","14.10","14.62","13.89","32.38M","6.02%"
"Feb 10, 2020","13.79","14.33","14.76","13.56","46.66M","-3.70%"
"Feb 07, 2020","14.32","14.65","14.80","14.26","30.74M","-3.57%"
"Feb 06, 2020","14.85","15.30","15.34","14.68","31.08M","-1.92%"
"Feb 05, 2020","15.14","15.20","15.32","14.98","28.27M","1.27%"
"Feb 04, 2020","14.95","15.00","15.04","14.82","36.18M","3.17%"
"Feb 03, 2020","14.49","14.25","14.58","14.03","29.45M","3.50%"
"Jan 31, 2020","14.00","14.29","14.81","14.00","49.72M","-4.44%"
"Jan 30, 2020","14.65","13.95","14.65","13.68","53.73M","1.38%"
"Jan 29, 2020","14.45","14.93","15.05","14.31","42.53M","-1.30%"
"Jan 28, 2020","14.64","14.18","14.70","14.17","50.84M","5.32%"
"Jan 27, 2020","13.90","14.37","14.60","13.86","54.42M","-7.33%"
"Jan 24, 2020","15.00","15.25","15.43","14.50","49.65M","-1.06%"
"Jan 23, 2020","15.16","14.93","15.19","14.80","51.18M","1.07%"
"Jan 22, 2020","15.00","14.60","15.03","14.50","50.32M","4.75%"
"Jan 21, 2020","14.32","13.83","14.37","13.78","35.78M","2.21%"
"Jan 20, 2020","14.01","13.77","14.25","13.65","51.98M","2.04%"
"Jan 17, 2020","13.73","13.78","13.87","13.21","38.76M","1.03%"
"Jan 16, 2020","13.59","13.70","14.03","13.38","68.46M","0.30%"
"Jan 15, 2020","13.55","13.27","13.56","13.10","46.57M","1.50%"
"Jan 14, 2020","13.35","12.70","13.36","12.61","62.86M","5.12%"
"Jan 13, 2020","12.70","11.77","12.70","11.75","63.66M","8.55%"
"Jan 10, 2020","11.70","11.73","11.76","11.61","25.22M","0.34%"
"Jan 09, 2020","11.66","11.68","11.79","11.58","28.19M","0.52%"
"Jan 08, 2020","11.60","11.61","11.83","11.45","31.67M","-0.43%"
"Jan 07, 2020","11.65","11.50","11.65","11.42","28.06M","1.48%"
"Jan 06, 2020","11.48","11.45","11.68","11.20","35.25M","0.00%"
"Jan 03, 2020","11.48","11.47","12.00","11.47","59.50M","-2.13%"
"Jan 02, 2020","11.73","11.33","11.76","11.23","40.41M","5.01%"
"Dec 30, 2019","11.17","11.60","11.67","11.10","32.27M","-2.87%"
"Dec 27, 2019","11.50","11.90","11.96","11.43","36.09M","-2.54%"
"Dec 26, 2019","11.80","11.78","12.03","11.71","32.12M","1.11%"
"Dec 23, 2019","11.67","11.45","11.76","11.33","34.47M","2.64%"
"Dec 20, 2019","11.37","11.24","11.37","10.85","43.13M","1.16%"
"Dec 19, 2019","11.24","11.20","11.27","11.10","24.30M","-0.18%"
"Dec 18, 2019","11.26","11.06","11.28","10.93","40.57M","2.46%"
"Dec 17, 2019","10.99","11.44","11.56","10.78","75.09M","-2.31%"
"Dec 16, 2019","11.25","11.50","11.60","11.23","72.52M","3.50%"
"Dec 13, 2019","10.87","10.32","10.87","10.02","152.82M","8.70%"
"Dec 12, 2019","10.00","10.44","11.18","10.00","72.72M","-3.10%"
"Dec 11, 2019","10.32","10.29","10.36","10.19","25.79M","1.18%"
"Dec 10, 2019","10.20","10.25","10.36","10.04","28.54M","-0.29%"
"Dec 09, 2019","10.23","10.19","10.46","10.00","57.26M","2.30%"
"Dec 06, 2019","10.00","9.37","10.04","9.37","64.42M","7.30%"
"Dec 05, 2019","9.32","9.35","9.56","9.25","34.17M","-1.38%"
"Dec 04, 2019","9.45","9.51","9.93","9.41","63.21M","-0.53%"
"Dec 03, 2019","9.50","9.20","9.53","8.97","57.72M","3.60%"
"Dec 02, 2019","9.17","9.17","9.24","9.05","52.10M","4.09%"
"Nov 29, 2019","8.81","8.63","8.96","8.63","52.11M","2.56%"
"Nov 28, 2019","8.59","8.29","8.60","8.23","48.09M","3.87%"
"Nov 27, 2019","8.27","8.02","8.28","7.98","39.87M","4.03%"
"Nov 26, 2019","7.95","7.88","7.95","7.73","20.01M","0.25%"
"Nov 25, 2019","7.93","7.88","8.02","7.85","24.34M","0.89%"
"Nov 22, 2019","7.86","7.55","7.87","7.51","42.07M","4.11%"
"Nov 21, 2019","7.55","7.45","7.66","7.40","21.16M","1.34%"
"Nov 19, 2019","7.45","7.56","7.68","7.37","18.81M","-1.46%"
"Nov 18, 2019","7.56","7.58","7.71","7.47","32.83M","-0.53%"
"Nov 14, 2019","7.60","6.75","7.60","6.72","90.14M","8.26%"
"Nov 13, 2019","7.02","6.99","7.10","6.44","64.32M","-0.99%"
"Nov 12, 2019","7.09","7.28","7.29","6.97","27.11M","-3.01%"
"Nov 11, 2019","7.31","7.19","7.33","7.12","19.93M","0.83%"
"Nov 08, 2019","7.25","7.39","7.39","7.16","24.01M","-2.29%"
"Nov 07, 2019","7.42","7.47","7.54","7.38","15.94M","-0.40%"
"Nov 06, 2019","7.45","7.40","7.49","7.34","16.26M","0.95%"
"Nov 05, 2019","7.38","7.59","7.61","7.37","27.78M","-2.51%"
"Nov 04, 2019","7.57","7.70","7.79","7.57","21.55M","-0.92%"
"Nov 01, 2019","7.64","7.46","7.65","7.42","21.58M","2.96%"
